Dante Pozzi,32,159,6,39,30,5,18.2%,13.8%,0.180,0.248,0.242,0.384,0.422,0.362,96.5,0.0,-1.1
Ben Nardi,31,149,10,39,36,5,10.7%,18.8%,0.352,0.412,0.369,0.477,0.721,0.499,158.1,0.1,16.9
Joe Marini,32,147,8,41,35,4,13.6%,11.6%,0.308,0.398,0.392,0.483,0.700,0.493,155.7,-0.2,15.6
Mitchel Johnson,31,145,6,27,39,0,12.4%,19.3%,0.295,0.433,0.369,0.455,0.664,0.470,145.3,-0.2,12.5
Lucas Malave,32,145,7,28,29,6,8.3%,16.6%,0.248,0.333,0.310,0.379,0.558,0.400,113.6,0.3,4.1
Zach Burton,32,143,4,32,19,4,11.2%,22.4%,0.164,0.326,0.262,0.371,0.426,0.357,94.2,-0.1,-1.7
Derek Zelesnick,28,94,0,20,8,3,7.4%,18.1%,0.028,0.382,0.296,0.427,0.324,0.361,96.3,-1.0,-1.7
Matthew Fisher,24,93,1,14,21,0,6.5%,9.7%,0.133,0.360,0.337,0.387,0.470,0.374,101.8,-0.1,0.2
Jesse Lacefield,28,78,1,12,15,0,3.8%,19.2%,0.134,0.333,0.284,0.346,0.418,0.334,84.1,-0.1,-2.5
Justin McCarthy,24,71,1,18,9,6,9.9%,15.5%,0.102,0.286,0.254,0.343,0.356,0.316,75.6,0.4,-3.0
Michael Napolitano,17,50,1,8,14,0,6.0%,10.0%,0.238,0.500,0.452,0.540,0.690,0.528,171.2,-0.1,6.8
Steve Thomas,20,44,0,8,6,0,6.8%,13.6%,0.100,0.500,0.425,0.477,0.525,0.445,133.4,-0.1,2.7
Shane Newsome,8,17,0,1,2,0,5.9%,17.6%,0.000,0.231,0.200,0.235,0.200,0.201,25.0,0.0,-2.5
Mark Villanueva,15,12,0,6,1,2,8.3%,33.3%,0.091,0.429,0.273,0.333,0.364,0.313,73.9,0.4,-0.2
Jack Elwell,17,11,1,7,3,0,27.3%,18.2%,0.375,0.600,0.500,0.636,0.875,0.619,212.0,0.0,2.4
Sean O'Mara,14,11,0,2,0,0,0.0%,45.5%,0.000,0.167,0.091,0.091,0.091,0.082,-27.5,0.0,-2.7
Liam Walsh,7,9,0,2,2,0,11.1%,11.1%,0.000,0.333,0.286,0.444,0.286,0.363,98.3,0.0,-0.0
Michael Miller,6,6,0,0,0,0,16.7%,16.7%,0.000,0.500,0.400,0.500,0.400,0.420,121.2,0.0,0.2
Ryan Moore,5,6,0,1,3,0,0.0%,33.3%,0.000,0.500,0.333,0.333,0.333,0.300,69.6,0.0,-0.4
