Dante Pozzi,32,159,6,39,30,5,18.2%,13.8%,0.180,0.248,0.242,0.384,0.422,0.362,97.1,0.0,-0.9
Ben Nardi,31,149,10,39,36,5,10.7%,18.8%,0.352,0.412,0.369,0.477,0.721,0.499,159.2,0.1,17.0
Joe Marini,32,148,8,41,35,4,13.5%,11.5%,0.305,0.404,0.397,0.486,0.702,0.496,157.9,-0.2,16.2
Mitchel Johnson,31,145,6,27,39,0,12.4%,19.3%,0.295,0.433,0.369,0.455,0.664,0.470,146.0,-0.2,12.6
Lucas Malave,32,145,7,28,29,6,8.3%,16.6%,0.248,0.333,0.310,0.379,0.558,0.400,114.4,0.3,4.3
Zach Burton,32,143,4,32,19,4,11.2%,22.4%,0.164,0.326,0.262,0.371,0.426,0.357,94.9,-0.1,-1.5
Derek Zelesnick,28,94,0,20,8,3,7.4%,18.1%,0.028,0.382,0.296,0.427,0.324,0.361,96.8,-1.0,-1.6
Matthew Fisher,24,93,1,14,21,0,6.5%,9.7%,0.133,0.360,0.337,0.387,0.470,0.374,102.9,-0.1,0.4
Jesse Lacefield,28,77,1,12,15,0,3.9%,19.5%,0.136,0.321,0.273,0.338,0.409,0.327,81.7,-0.1,-2.8
Justin McCarthy,24,71,1,18,9,6,9.9%,15.5%,0.102,0.286,0.254,0.343,0.356,0.316,76.1,0.4,-2.9
Michael Napolitano,17,50,1,8,14,0,6.0%,10.0%,0.238,0.500,0.452,0.540,0.690,0.528,172.8,-0.1,6.9
Steve Thomas,20,44,0,8,6,0,6.8%,13.6%,0.100,0.500,0.425,0.477,0.525,0.445,134.8,-0.1,2.8
Shane Newsome,8,17,0,1,2,0,5.9%,17.6%,0.000,0.231,0.200,0.235,0.200,0.201,24.3,0.0,-2.5
Mark Villanueva,15,12,0,6,1,2,8.3%,33.3%,0.091,0.429,0.273,0.333,0.364,0.313,73.6,0.4,-0.2
Jack Elwell,17,11,1,7,3,0,27.3%,18.2%,0.375,0.600,0.500,0.636,0.875,0.619,212.9,0.0,2.4
Sean O'Mara,14,11,0,2,0,0,0.0%,45.5%,0.000,0.167,0.091,0.091,0.091,0.082,-28.6,0.0,-2.7
Liam Walsh,7,9,0,2,2,0,11.1%,11.1%,0.000,0.333,0.286,0.444,0.286,0.363,98.2,0.0,-0.0
Michael Miller,6,6,0,0,0,0,16.7%,16.7%,0.000,0.500,0.400,0.500,0.400,0.420,121.4,0.0,0.2
Ryan Moore,5,6,0,1,3,0,0.0%,33.3%,0.000,0.500,0.333,0.333,0.333,0.300,69.3,0.0,-0.4
